"","k_1","k_2","k_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"AAH1",25.4451740621491,23.1112900770008,0.797032793019087,21.8406069816777,22.2497492745639,17.5046484404334,367.856,258.567,72.5378,57.0027
"AAR2",14.6645175214791,12.2064847702723,2.85684170567708,11.0336033842105,12.1247188773411,10.2987904032477,43.0334,46.9593,25.9192,24.7803
"AAT1",40.00957618989,40.5755147194803,19.4170246658976,19.6931910539282,18.8711785473792,17.0964467621243,14.4096,13.0848,30.2193,50.3683
"AAT2",141.081742353786,145.704136367637,96.6236764693239,70.9222964490078,72.9323009031814,65.7219220878869,285.287,288.294,336.802,175.914
"ABD1",57.2467886510089,57.6562560167898,68.986203816271,39.3843284757437,38.6512104235253,37.0355331284022,87.8469,83.5266,59.6876,77.9978
"ABF1",61.7598788528033,78.4099865078576,109.737600974578,68.7965688006232,81.5001491261155,80.1589437976661,55.1197,30.8424,58.9728,24.8705
"ABF2",549.270937469435,507.314913140431,827.201404674783,571.533392034617,588.81590988113,548.212409647757,898.525,978.223,696.558,831.197
"ABP1",115.63783334798,122.139292028803,33.0575154541509,139.883834053508,135.699252711579,129.571978191099,400.945,325.342,275.338,199.001
"ABP140",15.0561736785184,16.4388662227161,20.8272783830118,42.1223583882229,48.2941588621419,37.971113803171,834.739,879.774,201.426,211.348
"ABZ1",21.4223596972759,22.6829165809784,9.67552992771765,11.946981147804,11.7670575535257,9.54854739373961,52.8811,42.4855,84.3373,48.7762
"ABZ2",79.1603235792569,74.6812355369985,54.1276136956966,62.5438936612103,67.0463663901438,71.4475305191178,40.8623,43.155,46.6673,35.8888
"ACB1",98.8146700372068,88.3394943304395,36.0309427701327,131.266592726942,149.422953060644,148.169205271743,6158.17,5533.79,5418.09,3550.01
"ACC1",253.594186271419,250.895240951029,77.4390963231345,114.271616238071,103.326674657202,94.9587797039572,357.32,344.091,261.074,220.498
"ACF2",38.0664676786726,35.716207037905,9.066997111563,33.1035571534241,32.0697608655345,28.777947510305,23.2686,19.3541,20.9492,25.8489
"ACH1",1330.96733383948,1421.78461997581,1355.28603434984,2283.25922338547,2216.15911420295,1752.15740547015,54.9567,51.2882,499.96,273.612
"ACK1",11.5670050853788,12.967746326831,5.1046636503861,42.8262384593129,42.476819697482,40.6678537718441,9.60985,9.55466,21.0057,21.9467
"ACN9",322.838360513585,292.099300492193,234.567721900326,161.97119053895,167.840200763468,161.819856562432,82.5732,80.8213,225.9,169.042
"ACO2",28.1000901099361,30.7950390352181,3.7080716478661,67.0334121453113,66.3471616014762,55.0010688597287,53.8362,35.3459,27.939,26.8315
"ACP1",462.577620462231,459.734000300886,387.9048474971,425.853248497871,375.002621050066,383.724142183498,245.13,220.525,744.77,766.211
"ACS1",3326.00489286796,3380.27876321811,89.4857471658645,75.0695379277503,53.1274575903332,30.3715479026296,23.0447,21.3035,535.54,481.581
"ACS2",499.175855358341,564.153479386961,47.0736377304316,536.131892881662,481.146271569232,323.909030772042,342.665,379.839,176.578,102.406
"ACT1",481.271766284116,524.156848526006,1828.98627005553,571.090627571067,548.39012284882,494.31962462018,2065.9,2041.66,2176.92,1651.98
"ADA2",50.8772518009393,47.3839343546822,48.2512997933744,33.7128570503642,32.3247085611925,30.8500676378469,37.662,31.6432,49.9092,45.9258
"ADD37",47.2355840287747,42.0693675797408,90.1120020626107,57.4849050081494,62.8955691652188,56.878563266298,28.8933,26.6846,37.5845,27.7264
"ADD66",59.4581985995307,51.3391176968306,70.0883725385377,44.7583003699815,43.9140475140409,40.7517121911725,143.692,150.54,108.415,132.65
"ADE1",45.2139393573606,50.2716284580977,84.1163553640965,74.9710020020499,70.0090483016488,62.5193592379642,1312.81,1324.85,154.202,92.7251
"ADE12",124.769341004615,129.075355195667,416.390347676736,125.150643218173,122.980242884533,116.845370629415,280.543,345.71,207.419,164.292
"ADE13",87.2234549716179,91.8810550856407,179.51130415834,100.455064028216,111.343302352084,102.100829576289,1512.69,2482.34,148.726,143.245
"ADE17",258.695229708719,286.277849070379,167.557601245116,177.188980585081,163.652265748044,151.828597006784,1080.28,1497.39,79.7604,44.599
"ADE2",74.1555805745384,70.4179892605322,51.9841167729612,67.4809901411454,67.3347012686966,58.8027787318326,543.575,670.036,92.1161,81.2002
"ADE3",21.8617974640498,25.2096324945281,141.188426230251,38.7652537298107,34.5200086712493,25.6852043952567,285.664,272.874,181.492,92.3245
"ADE4",31.8116807489529,40.6503395033921,74.6317395466646,54.6255779856852,54.9788571408429,51.7418932888996,173.707,196.796,22.0472,10.3858
"ADE6",12.9400163143961,15.9189553419701,22.3391845174823,48.6398692430066,47.3073069389999,44.460259607502,163.37,168.7,44.5106,26.4827
"ADE8",56.0537979437251,56.8852804400558,94.5812247715983,35.6785651743288,33.869202693746,28.6128032616107,361.636,376.829,290.253,175.903
"ADH1",7000.82319892707,6415.77370747738,6026.1558207065,4391.29919236233,4187.9357614323,4264.65720851075,3239.69,4061.36,5244.78,2234.54
"ADH2",484.017956419661,499.04105588545,1697.06127599289,563.618880233018,569.018874802831,465.608746023784,21.8429,18.0721,3160.22,2126.21
"ADH3",551.541289177658,572.679567634166,22.3696095821884,157.539396664621,137.699609668918,143.43282263596,304.527,296.552,260.096,157.954
"ADH6",59.3003412987006,89.2804401457006,30.4839447687362,1352.64646576141,1366.64594321929,1374.54034437771,334.182,321.947,265.952,157.705
"ADI1",63.1688353549902,70.1242405477283,96.2418687819536,66.0767069664205,68.5175194816629,60.959816457686,107.477,129.251,181.224,240.219
"ADK1",419.033638353268,427.85479969372,1001.45872018499,433.987117845242,445.201756461214,328.600455365434,324.769,487.55,418.788,143.921
"ADK2",169.563744881515,175.622296144965,162.317026722687,97.0641742119511,85.7609106908591,67.4859740610168,40.2597,39.1896,98.6766,87.4836
"ADO1",55.9469647849142,61.8431092034988,125.418932167975,118.121243384092,123.045227673408,115.720847131385,331.664,257.525,241.473,101.085
"ADP1",56.1219305276252,57.0992012807653,80.4356457001863,61.3809856804392,64.4008545786594,62.1939654205722,193.18,182.639,201.004,216.77
"ADR1",67.2561321010925,75.3776008871922,29.6405369982677,210.849842168249,214.476943232322,209.208449138089,66.9353,61.1999,152.431,180.657
"ADY2",2107.29036275066,1939.67088585146,187.89421238793,31.0946764653739,31.3626371514291,24.0708095206804,21.2591,22.9683,3443.74,5209.15
"ADY4",15.4470239460973,12.4741685362282,22.9254256764881,15.4262017567976,15.0280297873287,14.3638179763749,19.3785,19.7918,14.5333,17.4761
"AEP1",11.4652561402055,14.6661189312454,9.5981817821352,23.6492067583069,22.3314425580267,21.2141885127578,33.231,32.3272,43.8262,48.1523
"AEP2",26.0819493638579,27.7588529615413,16.8192645185248,29.6037992126089,34.0142003923682,30.4924338753577,27.4684,26.6859,33.157,33.0887
"AEP3",9.35267747118095,9.75082810532168,12.6753805184832,11.455125734523,13.6232848735095,11.6737545684374,21.6754,23.064,27.2886,22.6803
"AFG1",103.419229919353,99.3012085285184,91.8928335520227,92.8464880995026,87.4817474671544,80.7146164403588,82.6657,84.2124,173.687,132.003
"AFG2",26.909918394508,27.7884358697281,22.6870056851734,35.1277349375858,33.5770063328187,34.319086809078,39.4807,29.4254,16.2181,8.79218
"AFG3",444.225671048248,468.784882243075,313.845584381017,413.085939213327,424.813867268896,438.000431649672,45.6135,36.6683,79.0762,44.0165
"AFI1",10.0866291633889,10.9879976432508,12.8155068272022,13.9904905303863,14.6149261464305,14.7136990300928,7.37741,6.93225,6.7342,6.84132
"AFT1",106.142355308797,115.378471786362,41.6929480625821,133.268695696653,133.135851177034,134.601213485309,22.6907,19.8102,44.1367,37.7632
"AGA2",0.837675381791078,1.8532761048344,3.78621857405927,1.35862433054975,0.738904712937251,2.11357171509778,545.955,340.022,231.347,175.012
"AGC1",41.4993752877123,43.9584086620369,6.77802480153606,103.947837715189,107.923676985282,103.042646644415,25.7036,24.4481,36.2225,25.4475
"AGE2",131.898969491187,134.792742410545,102.951737403465,155.902141930584,155.059154009882,148.231829618857,103.661,117.502,138.08,128.258
"AGP1",27.8325561776374,27.1145120836166,34.3013646539118,26.7190930772415,28.4442765800494,28.993458684221,135.466,196.436,264.009,353.678
"AGP2",246.498673143264,258.426716845714,167.454121479985,173.035904321406,162.999021016172,144.11676953719,20.0947,16.975,104.067,105.51
"AGX1",411.585740184625,410.353294296041,359.951303438618,784.87186404742,821.963179310741,772.416082250771,12.9618,16.535,91.0956,74.7497
"AHA1",192.251115412412,178.437814055136,523.937552099574,205.149778735178,210.167705631331,197.951420774678,173.509,186.368,236.51,156.411
"AHC1",98.8603911106769,96.4435130871057,65.3152009122547,120.603731143742,124.707670682941,125.212438027056,46.1745,34.1536,123.294,83.2968
"AHC2",266.417511557887,280.959444374255,195.054727778162,202.959406572476,214.461259471777,205.639403817355,590.551,566.591,1583.23,1251.86
"AHP1",1112.48710954326,1137.38279959723,764.438840212801,1306.65028998303,1231.13086860854,1297.31860724355,5269.8,7090.76,2783.13,1236.05
"AIM1",191.675909643601,172.969079066962,164.782817071014,109.598977698961,108.900097855611,108.153608864743,81.3141,74.1981,144.078,75.6926
"AIM10",77.5403625827678,86.4408935382586,19.3127811451323,97.1060878704239,97.5472017480683,92.1024611573677,41.2813,39.2105,44.0932,38.5494
