"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3"
"AAH1",21.840635971472,19.5164321661428,11.3661153250462,15.3914865211384,19.7502201856544,91.1390364971905,33.4756715782305,31.2912072032209,17.8954682569614,16.4251606158917,15.3962976321208,22.0371107837936,38.6099073574003,31.589294884751,39.4165547874022,53.644984393161,32.8944225082152,33.4659832574885,18.2510194445547,18.6584647503619,13.9330450270435
"AAR2",12.9924792775802,10.4376324114942,7.08583913712925,9.1211924414765,9.77639337746466,9.33893669255443,8.58384123997855,9.31790623637231,11.252951823189,12.4740477318358,8.15430180938444,7.95882703648616,8.84913653831239,8.69052949089249,9.98103480928435,8.20144876419019,8.40177045192454,8.71451464449852,9.21855494720918,10.3526460193456,8.45480001324808
"AAT1",50.1508680374554,50.8777584476631,13.8567809808821,37.8975344200072,38.4569377873638,28.1029326436126,41.5714448299175,46.0778209205749,37.9729119486241,33.0460542051686,30.4615645474427,30.6181557325337,40.6714621959438,39.7070347989665,41.6753221210823,53.704252070339,42.2127640502958,32.0022773437603,24.056540202759,23.0007488458535,20.7212865934313
"AAT2",146.964127214568,151.531545874687,87.1069439412696,91.4888272902568,102.145918075889,98.1634893373371,139.31523877585,125.87895261825,128.034672886451,108.629009761615,103.24060681492,86.7075063936873,118.747991439197,116.944602621063,112.304817761801,135.86938758223,116.356133004424,103.120002490403,77.6391061434724,79.625205083417,72.5005812091165
"ABD1",66.1199969390612,66.5778642206462,53.8499416224253,45.3252683598553,63.5165161764321,50.8678198951489,57.5905810124585,54.7169916092403,57.7568903317852,45.674047014879,48.4585223095306,44.3192808218554,59.2930559121764,58.3732368882649,61.7666322676002,65.6739225685972,51.7455513794653,45.717150728355,46.1461558802729,45.3263817109446,43.5197279141866
"ABF1",87.5510063018412,107.611005527862,66.0264825087466,121.686369505083,115.341882817035,132.690066962853,79.4432121836779,86.6482098813991,111.924522325726,48.9449631663298,55.6635961452463,48.7151920302442,74.1279540254506,65.7756642762818,73.1808212627139,51.2381392111806,69.4527220186002,84.1048901124006,96.0287890184092,111.334024082142,109.718143968451
"ABF2",658.448300411925,597.152920100884,625.868193353468,862.925417720055,772.859293892404,720.736685799701,715.283358732585,683.190628084371,775.836234475452,847.048734635679,669.24045309964,691.694099641863,830.654966329274,774.821726879941,724.537638191769,576.625155370537,749.463020105139,806.838324061916,690.972488321854,716.221270137486,656.901851089397
"ABP1",86.5738713105956,93.0295181603257,98.6264828604695,113.475759859725,94.0746997518335,96.5619383977107,165.558175476967,136.714182259181,94.1336789049161,138.319317026053,149.615724850402,123.887427826389,151.77414767541,158.452081945793,151.241778425296,125.979330461057,130.054964945228,148.08641841506,110.649025173356,106.493930034915,100.409830696986
"ABP140",18.7840209227549,20.4606925801843,14.477947832087,25.1118431040382,47.9358682940882,68.9170196435871,39.9498855818996,36.1036751898986,53.4589126238658,27.1850649962931,28.2959227917203,24.1244004041269,43.1905838383094,41.0712829407902,48.2637698318921,61.3266700344389,43.4941290468342,34.2594911750316,51.6048421298596,59.0888507573405,46.5709868682387
"ABZ1",19.0916417721651,20.2472055626487,14.4983927415329,17.2623061601398,19.0317317681501,19.0057849841063,17.5353155075602,15.6502570410863,17.0330238590175,23.3724800249997,26.075938341371,22.7796266932276,14.1958996215719,14.0475339174736,14.0788573228538,14.7646957298991,13.7538141390407,13.2144849955279,10.4054773519338,10.2405397808573,8.20681163846773
"ABZ2",80.6248171600911,75.9577204612518,54.4094602418942,62.2465165885198,65.8021769840194,47.0161530154371,66.7657023226969,62.7321207662583,68.4724447124623,65.2220416861087,56.8866325356621,55.8388149294652,56.5062187086144,59.8216435415991,54.1195584655326,49.7112552284623,65.9422961318441,71.0834650587844,63.3109165434139,68.0023794955965,72.5882814434018
"ACB1",83.3209361792926,73.8629753613636,66.1127748392737,61.2361310806243,61.11789480992,64.0141152256127,66.7773318398181,47.3763173719238,49.0135217004602,29.1407997718045,17.9486389916713,19.7786853064221,25.7409925218535,30.4966778432582,29.1984566655715,42.6439161743378,41.4472153483095,53.9665298009939,112.62154381184,129.0147909935,127.882791130688
"ACC1",227.982028135943,225.541199771696,116.423164674188,129.050302354288,138.200966905587,72.5514449545716,131.705995558004,154.974935800767,129.425766245428,158.558036802651,176.507119657858,192.969270857731,144.363179133865,151.06126354072,138.138369782393,153.625625693107,149.798139848103,142.937421729659,101.983743491887,92.08553486432,84.5179138396854
"ACF2",31.0308515050827,28.8988244989397,24.822562586083,30.3129838474021,28.3623588901715,18.2720923110153,35.1499249098522,35.0372852209341,29.0707949256134,45.3487583000551,36.5246441541039,36.9690601787046,35.1632492978283,35.9520490706283,33.5778072592685,26.8605822021341,31.1376711800497,33.4059771114308,26.5287724227197,25.5909693695608,22.6048175995005
"ACH1",1076.56687227018,1166.53179206007,1841.77808353567,1660.63605394105,1322.00662866784,639.256992661911,1536.01631986538,1325.69040040338,1200.4447871238,1641.90355380879,1918.55596520644,1828.76323357676,1294.93106718275,1298.53682509897,1456.58659443032,1042.04253714351,1180.64107374881,1274.35212379209,2019.92101886911,1953.45067828399,1493.80386120277
"ACK1",7.45715405976394,8.79685349173225,18.0407367030945,25.2645432341089,22.5841607996308,67.3511715269798,43.8405867187185,31.8521688996681,23.9334173063602,21.3675511544559,28.647354716673,19.8164548562328,39.63936727767,39.5696197965575,42.8454604069048,42.0984562441282,38.1264640065096,38.933436582596,37.3541656958374,37.0199739815572,35.2898395703546
"ACN9",336.147480480774,301.978019473897,228.892346632035,209.555131429557,271.04589092037,166.722047551013,255.221666479335,232.620213565664,285.007659271255,208.593667339226,196.790625367385,188.903208353071,236.604660732567,238.73716554508,242.122166778387,208.018451991236,151.161531960175,150.807249218371,157.32794312636,163.851919977834,157.159720662627
"ACO2",22.704292873758,25.7021472634052,16.9358138743163,24.6542871152953,28.2231361741491,46.7572671932446,35.0177942149951,35.5207008225872,31.2262999849223,23.9270899519933,27.8671961981446,24.4907430258791,32.686534948659,33.9102538815199,36.9571314968123,58.9060951731941,43.0011386215229,43.0481589255811,66.0136221424327,65.2502387677298,52.6288738089734
"ACP1",437.95227963714,434.950409938299,433.730738061307,390.217431162959,384.465646962632,387.186376539283,501.351002764801,392.222361994733,374.884746702608,403.711393754447,373.679396483054,339.412614302097,361.594037207129,396.336227942271,369.513008538778,411.22816905718,347.407890779871,319.707788965559,399.184169568374,345.503667587958,354.710547738178
